;id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude
14226;106799.0;232251.0;2018-01-28;domingo;12:20:00;ES;101.0;434,8;ATILIO VIVACQUA                                             ;Sim                 ;Condutor Dormindo                                                                                   ;2;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Desvio Temporário             ;Não       ;189850;Camioneta           ;FORD                                              ;2011.0;Passageiro          ;Lesões Graves       ;25.0;Feminino            ;0;0;1;0;-20.91465;-41.19869
14227;106799.0;232249.0;2018-01-28;domingo;12:20:00;ES;101.0;434,8;ATILIO VIVACQUA                                             ;Sim                 ;Condutor Dormindo                                                                                   ;2;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Desvio Temporário             ;Não       ;189850;Camioneta           ;FORD                                              ;2011.0;Passageiro          ;Lesões Graves       ;20.0;Feminino            ;0;0;1;0;-20.91465;-41.19869
14228;106799.0;232248.0;2018-01-28;domingo;12:20:00;ES;101.0;434,8;ATILIO VIVACQUA                                             ;Sim                 ;Condutor Dormindo                                                                                   ;2;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Desvio Temporário             ;Não       ;189850;Camioneta           ;FORD                                              ;2011.0;Passageiro          ;Lesões Graves       ;65.0;Masculino           ;0;0;1;0;-20.91465;-41.19869
14229;106799.0;232247.0;2018-01-28;domingo;12:20:00;ES;101.0;434,8;ATILIO VIVACQUA                                             ;Sim                 ;Condutor Dormindo                                                                                   ;2;Capotamento                                                                                                                                                                                             ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Desvio Temporário             ;Não       ;189850;Camioneta           ;FORD                                              ;2011.0;Condutor            ;Lesões Leves        ;57.0;Masculino           ;0;1;0;0;-20.91465;-41.19869
14250;106812.0;232482.0;2018-01-28;domingo;14:30:00;ES;101.0;144;LINHARES                                                    ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Simples             ;Interseção de vias            ;Não       ;190046;Caminhão            ;M.BENZ                                            ;1991.0;Condutor            ;Ileso               ;36.0;Masculino           ;1;0;0;0;-19.3587046;-40.06440818
14251;106812.0;232481.0;2018-01-28;domingo;14:30:00;ES;101.0;144;LINHARES                                                    ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Simples             ;Interseção de vias            ;Não       ;189913;Motocicleta         ;HONDA                                             ;2000.0;Passageiro          ;Lesões Graves       ;28.0;Feminino            ;0;0;1;0;-19.3587046;-40.06440818
14252;106812.0;232476.0;2018-01-28;domingo;14:30:00;ES;101.0;144;LINHARES                                                    ;Sim                 ;Desobediência às normas de trânsito pelo condutor                                                   ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Sol                 ;Simples             ;Interseção de vias            ;Não       ;189913;Motocicleta         ;HONDA                                             ;2000.0;Condutor            ;Lesões Graves       ;40.0;Masculino           ;0;0;1;0;-19.3587046;-40.06440818
14385;106877.0;232516.0;2018-01-28;domingo;17:00:00;ES;101.0;265;SERRA                                                       ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Múltipla            ;Reta                          ;Sim       ;190089;Automóvel           ;I                                                 ;2014.0;Condutor            ;Ileso               ;23.0;Masculino           ;1;0;0;0;-20.1215224;-40.3077898
14386;106877.0;232517.0;2018-01-28;domingo;17:00:00;ES;101.0;265;SERRA                                                       ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Múltipla            ;Reta                          ;Sim       ;190088;Automóvel           ;FORD                                              ;2003.0;Passageiro          ;Ileso               ;44.0;Masculino           ;1;0;0;0;-20.1215224;-40.3077898
14387;106877.0;232514.0;2018-01-28;domingo;17:00:00;ES;101.0;265;SERRA                                                       ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Múltipla            ;Reta                          ;Sim       ;190088;Automóvel           ;FORD                                              ;2003.0;Condutor            ;Lesões Leves        ;36.0;Feminino            ;0;1;0;0;-20.1215224;-40.3077898
14388;106877.0;234688.0;2018-01-28;domingo;17:00:00;ES;101.0;265;SERRA                                                       ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Pleno dia           ;Decrescente         ;Céu Claro           ;Múltipla            ;Reta                          ;Sim       ;190083;Automóvel           ;                                                  ;;Condutor            ;Não Informado       ;;Não Informado       ;0;0;0;0;-20.1215224;-40.3077898
14419;106894.0;232437.0;2018-01-28;domingo;18:50:00;ES;101.0;311,5;VILA VELHA                                                  ;Sim                 ;Ultrapassagem Indevida                                                                              ;1;Colisão transversal                                                                                                                                                                                     ;Com Vítimas Feridas;Anoitecer           ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;190007;Automóvel           ;HONDA                                             ;2017.0;Condutor            ;Ileso               ;75.0;Masculino           ;1;0;0;0;-20.42922103;-40.4598248
