;id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude
13368;106371.0;238005.0;2018-01-26;sexta-feira;18:40:00;ES;101.0;270;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;194809;Motocicleta         ;HONDA                                             ;2011.0;Condutor            ;Ileso               ;45.0;Masculino           ;1;0;0;0;-20.22775118;-40.27170539
13369;106371.0;238004.0;2018-01-26;sexta-feira;18:40:00;ES;101.0;270;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;194807;Automóvel           ;FIAT                                              ;2006.0;Condutor            ;Ileso               ;44.0;Masculino           ;1;0;0;0;-20.22775118;-40.27170539
13370;106372.0;233591.0;2018-01-26;sexta-feira;19:00:00;ES;101.0;326,3;GUARAPARI                                                   ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Engavetamento                                                                                                                                                                                           ;Sem Vítimas;Anoitecer           ;Decrescente         ;Céu Claro           ;Simples             ;Não Informado                 ;Não       ;189032;Automóvel           ;RENAULT                                           ;2016.0;Condutor            ;Ileso               ;61.0;Masculino           ;1;0;0;0;-20.5655;-40.4823
13371;106372.0;233599.0;2018-01-26;sexta-feira;19:00:00;ES;101.0;326,3;GUARAPARI                                                   ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Engavetamento                                                                                                                                                                                           ;Sem Vítimas;Anoitecer           ;Decrescente         ;Céu Claro           ;Simples             ;Não Informado                 ;Não       ;189033;Caminhão            ;M.BENZ                                            ;2002.0;Condutor            ;Ileso               ;45.0;Masculino           ;1;0;0;0;-20.5655;-40.4823
13372;106372.0;233597.0;2018-01-26;sexta-feira;19:00:00;ES;101.0;326,3;GUARAPARI                                                   ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Engavetamento                                                                                                                                                                                           ;Sem Vítimas;Anoitecer           ;Decrescente         ;Céu Claro           ;Simples             ;Não Informado                 ;Não       ;191000;Automóvel           ;FIAT                                              ;2008.0;Condutor            ;Ileso               ;34.0;Masculino           ;1;0;0;0;-20.5655;-40.4823
13470;106415.0;231430.0;2018-01-26;sexta-feira;23:00:00;ES;101.0;152;LINHARES                                                    ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;189132;Motocicleta         ;HONDA                                             ;2006.0;Passageiro          ;Lesões Leves        ;38.0;Masculino           ;0;1;0;0;-19.39159;-40.072563
13471;106415.0;231429.0;2018-01-26;sexta-feira;23:00:00;ES;101.0;152;LINHARES                                                    ;Sim                 ;Defeito Mecânico no Veículo                                                                         ;1;Queda de ocupante de veículo                                                                                                                                                                            ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;189132;Motocicleta         ;HONDA                                             ;2006.0;Condutor            ;Ileso               ;28.0;Masculino           ;1;0;0;0;-19.39159;-40.072563
13519;106442.0;231547.0;2018-01-27;sábado;01:20:00;ES;101.0;314,1;VILA VELHA                                                  ;Sim                 ;Falta de Atenção do Pedestre                                                                        ;1;Atropelamento de Pedestre                                                                                                                                                                               ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;189226;Automóvel           ;FORD                                              ;2017.0;Condutor            ;Ileso               ;39.0;Masculino           ;1;0;0;0;-20.46176;-40.465309999999995
13520;106442.0;231546.0;2018-01-27;sábado;01:20:00;ES;101.0;314,1;VILA VELHA                                                  ;Sim                 ;Falta de Atenção do Pedestre                                                                        ;1;Atropelamento de Pedestre                                                                                                                                                                               ;Com Vítimas Feridas;Plena Noite         ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Não       ;189226;Automóvel           ;FORD                                              ;2017.0;Pedestre            ;Lesões Leves        ;65.0;Masculino           ;0;1;0;0;-20.46176;-40.465309999999995
13521;106443.0;231505.0;2018-01-27;sábado;03:25:00;ES;101.0;251,9;SERRA                                                       ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão frontal                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Sim       ;189188;Automóvel           ;CHEVROLET                                         ;2015.0;Condutor            ;Lesões Leves        ;23.0;Feminino            ;0;1;0;0;-20.09612588;-40.33966614
13522;106443.0;231510.0;2018-01-27;sábado;03:25:00;ES;101.0;251,9;SERRA                                                       ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão frontal                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Sim       ;189188;Automóvel           ;CHEVROLET                                         ;2015.0;Passageiro          ;Lesões Leves        ;31.0;Masculino           ;0;1;0;0;-20.09612588;-40.33966614
